Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Category,Product Name,Product ID,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1042,07-12-2025,08-12-2025,Richard Nunez,CUST216,Home Office,Grocery,Milk,PROD3587,South,Montana,Katherineland,10,2094,5,19893,17578.7,2314.3,5,Yes,45,"Barton, Waters and Cunningham",amberreed@hall.net,Credit Card,Cancelled
ORD1043,11-04-2025,18-04-2025,Anthony Gordon,CUST521,Corporate,Office Supplies,Calculator,PROD9870,East,Wyoming,South Douglasberg,7,3734,0,26138,21276.39,4861.61,43,NO,0,Oconnor-Mendoza,vickie16@brewer-duffy.com,Cash,Returned
ORD1044,15-08-2024,16-08-2024,Robert Jones,CUST339,Consumer,Office Supplies,File Folder,PROD3710,West,Minnesota,Gloverbury,10,3624,20,28992,23796.31,5195.69,39,NO,0,Brown Group,sonyajohnson@mcguire-bean.com,Net Banking,Pending
ORD1045,01-04-2026,04-04-2026,Zachary Day,CUST838,Corporate,Grocery,Eggs,PROD8193,South,Utah,Whiteville,8,3310,5,25156,20146.18,5009.82,35,NO,0,Spencer Group,joechen@brock.org,Net Banking,Returned
ORD1046,15-02-2026,19-02-2026,Christopher Richards,CUST122,Corporate,Office Supplies,Notebook,PROD3176,North,South Dakota,Karenborough,6,3965,5,22600.5,18007.99,4592.51,1,Yes,31,"Smith, Novak and Johnson",rivassarah@richardson.com,Net Banking,Returned
ORD1047,17-11-2025,22-11-2025,Debra Anderson,CUST498,Corporate,Office Supplies,stapler,PROD7501,West,Hawaii,Port Katelyn,10,1545,15,13132.5,9409.55,3722.95,18,NO,0,Russo Inc,christineellis@barrera.info,Credit Card,Delivered
ORD1048,02-11-2025,09-11-2025,Maria Evans,CUST143,Corporate,Grocery,Eggs,PROD6148,North,South Carolina,Guerreromouth,3,2890,5,8236.5,6956.63,1279.87,45,NO,0,Bailey LLC,gonzalesmarcus@ellis-harris.com,UPI,Cancelled
ORD1049,25-05-2024,29-05-2024,Edward Mcgrath,CUST800,Corporate,Furniture,Dining Table,PROD6657,South,Alaska,Kathleenbury,4,4314,20,13804.8,8705.35,5099.45,34,NO,0,Cortez-Johnson,heathermercer@gonzalez-gardner.biz,UPI,Returned
ORD1050,01-02-2026,02-02-2026,Jessica Cooper,CUST449,Corporate,Electronics,Mouse,PROD7856,West,Wyoming,Kirstenshire,9,2856,20,20563.2,16746.36,3816.84,19,NO,0,Ryan LLC,hansonheather@miller.biz,Cash,Returned
ORD1051,14-11-2025,20-11-2025,Bianca Lawrence,CUST119,Consumer,Office Supplies,stapler,PROD3279,West,West Virginia,Barbarachester,3,614,20,1473.6,1132.58,341.02,21,NO,0,Preston PLC,bentondavid@shea.com,Cash,Pending
ORD1052,08-09-2025,15-09-2025,Kathleen Scott,CUST429,Corporate,Furniture,Book Shelf,PROD6819,East,Montana,Rileyshire,2,2487,20,3979.2,2489.73,1489.47,49,NO,0,Ayala LLC,ashley96@mathis.org,Net Banking,Delivered
ORD1053,12-10-2024,15-10-2024,Todd Oneill,CUST481,Home Office,Grocery,Bread,PROD7975,East,Illinois,West Sarah,1,3271,15,2780.35,1776.89,1003.46,30,NO,0,"Shelton, Perry and Bailey",kevinlewis@wilson.biz,Cash,Cancelled
ORD1054,11-06-2025,12-06-2025,Nicole Johnson,CUST466,Home Office,Furniture,Book Shelf,PROD3553,North,Texas,New Joshuafurt,1,3639,10,3275.1,2108.61,1166.49,21,NO,0,"Johnson, Mays and Walters",gilberthayden@brooks.com,Cash,Pending
ORD1055,10-10-2025,15-10-2025,Jeffrey Daniel,CUST480,Home Office,Furniture,Book Shelf,PROD4692,West,Pennsylvania,Port Ashleyburgh,1,3428,15,2913.8,2618.21,295.59,38,NO,0,"Hernandez, Nichols and Stevens",xavier63@cuevas.com,Net Banking,Delivered
ORD1056,08-06-2025,14-06-2025,Robert Raymond,CUST479,Home Office,Furniture,Sofa,PROD5870,West,Nebraska,Michaelhaven,9,661,15,5056.65,3881.17,1175.48,32,NO,0,"Roberson, Butler and Munoz",jenniferhall@castaneda-allison.com,Credit Card,Delivered
ORD1057,05-09-2024,11-09-2024,Christine Fletcher,CUST799,Home Office,Office Supplies,Pen,PROD1857,South,Kansas,Bennettbury,10,4997,20,39976,35238.72,4737.28,29,NO,0,Powell PLC,angelacarlson@joseph.com,Net Banking,Cancelled
ORD1058,04-04-2026,06-04-2026,Mark Jones,CUST258,Consumer,Furniture,Dining Table,PROD7581,West,Tennessee,North Kyle,9,3579,10,28989.9,24705.31,4284.59,0,Yes,42,Curry-Gross,singletonpeter@davis.com,Cash,Pending
ORD1059,29-04-2024,06-05-2024,Marie Pacheco,CUST535,Home Office,Electronics,Headphones,PROD1988,West,Nebraska,Hudsonmouth,6,2881,10,15557.4,12621.64,2935.76,34,NO,0,"Martin, Hensley and Werner",hammondscott@graham.org,Credit Card,Pending
ORD1060,30-09-2025,01-10-2025,Ashley Boyer,CUST604,Corporate,Grocery,Bread,PROD6942,West,New Hampshire,North Pamelashire,6,275,20,1320,1038.44,281.56,42,NO,0,"Murray, Douglas and Thompson",bradleydavid@steele.com,Credit Card,Returned
ORD1061,11-11-2025,15-11-2025,Chad Weaver,CUST146,Corporate,Office Supplies,stapler,PROD5449,South,New Jersey,Chadberg,9,3595,0,32355,23649.17,8705.83,10,NO,0,Holland-Chang,kerrimiller@meyer.com,Credit Card,Returned
ORD1062,19-05-2025,20-05-2025,Jeremy Walker,CUST352,Consumer,Furniture,Dining Table,PROD3464,North,Missouri,East Emily,9,552,0,4968,2993.98,1974.02,24,NO,0,"Lee, Villegas and Dennis",jamesfernandez@mendoza.com,Net Banking,Cancelled
ORD1063,09-08-2025,14-08-2025,Anthony Woods,CUST784,Corporate,Office Supplies,File Folder,PROD5809,North,New York,North Brian,9,1010,0,9090,7742.67,1347.33,8,Yes,20,Dawson PLC,bethanyward@ross.org,Credit Card,Pending
ORD1064,12-03-2026,18-03-2026,Michael Shelton,CUST802,Consumer,Office Supplies,File Folder,PROD4978,East,Utah,Port James,7,2777,5,18467.05,15476.35,2990.7,11,NO,0,Cordova-Fletcher,mdiaz@jones.com,Credit Card,Pending
ORD1065,29-06-2025,06-07-2025,Samantha Mcmahon,CUST276,Home Office,Office Supplies,Calculator,PROD3619,West,Virginia,Christopherfort,4,741,20,2371.2,1815.11,556.09,28,NO,0,Wells Ltd,chapmanbradley@turner.com,UPI,Returned
ORD1066,30-09-2024,07-10-2024,Miguel Wang,CUST651,Corporate,Grocery,Milk,PROD4194,South,Nebraska,Huffmanville,8,1116,15,7588.8,6758.96,829.84,30,NO,0,"Castro, Mclaughlin and Kane",alex51@gillespie.com,Cash,Cancelled
ORD1067,12-10-2024,13-10-2024,Emily Pierce,CUST759,Home Office,Furniture,Dining Table,PROD9224,North,Virginia,Martinside,8,542,10,3902.4,3341.73,560.67,43,NO,0,Elliott-Dawson,gary85@smith-paul.com,Credit Card,Delivered
ORD1068,23-11-2024,28-11-2024,Philip King,CUST452,Home Office,Grocery,Milk,PROD4680,North,Idaho,Lake Bettyshire,7,3543,10,22320.9,13560.77,8760.13,34,NO,0,Richards-Schmitt,andrewmunoz@hood-mccoy.org,UPI,Returned
ORD1069,18-08-2024,22-08-2024,Daniel James,CUST969,Home Office,Grocery,Cheese,PROD3991,North,Hawaii,Port Brittanyport,2,4972,5,9446.8,7291.47,2155.33,34,NO,0,Mendoza-Welch,robertlowe@gonzalez.com,Credit Card,Cancelled
ORD1070,19-11-2025,25-11-2025,Samantha Davis,CUST577,Home Office,Grocery,Bread,PROD6480,West,Ohio,Lake Mark,5,1738,10,7821,5416.16,2404.84,20,NO,0,Case and Sons,shawnbell@myers-casey.com,UPI,Cancelled
ORD1071,03-10-2024,08-10-2024,Sarah Rodriguez,CUST596,Home Office,Furniture,Office Chair,PROD3354,South,Florida,Veronicamouth,1,382,5,362.9,303.23,59.67,27,NO,0,Gonzalez LLC,alvarezalexis@gonzales-wilson.com,Net Banking,Returned
ORD1072,29-10-2025,03-11-2025,Melinda Keith,CUST385,Corporate,Furniture,Dining Table,PROD6660,North,California,Ginatown,4,921,10,3315.6,2816.65,498.95,43,NO,0,Wilson PLC,brandijones@jordan.org,Net Banking,Cancelled
ORD1073,28-05-2024,03-06-2024,Brittany Mitchell,CUST181,Consumer,Electronics,Keyboard,PROD6188,North,Alabama,East Robertport,5,4165,0,20825,15520.2,5304.8,40,NO,0,"Wells, Smith and Russo",gmartinez@mccarthy.org,UPI,Returned
ORD1074,14-10-2025,20-10-2025,John Norman,CUST593,Corporate,Office Supplies,File Folder,PROD8028,North,Rhode Island,Davidberg,3,2736,15,6976.8,5949.45,1027.35,2,Yes,41,Watson Group,ihaley@osborne.biz,UPI,Cancelled
ORD1075,06-11-2024,08-11-2024,Justin Price,CUST988,Corporate,Furniture,Office Chair,PROD1799,West,Georgia,North Alicia,3,3757,0,11271,7405.43,3865.57,7,Yes,35,Oliver-Hendricks,chenlindsey@brown.com,Net Banking,Returned
ORD1076,02-06-2024,07-06-2024,Haley Weiss,CUST423,Corporate,Grocery,Bread,PROD6187,North,Rhode Island,Angelaborough,2,2185,10,3933,3392.77,540.23,27,NO,0,"Martinez, Espinoza and Haas",tony19@hernandez.com,Credit Card,Returned
ORD1077,19-09-2024,25-09-2024,Cathy White,CUST500,Home Office,Grocery,Eggs,PROD4353,South,Oregon,Dennisstad,4,389,10,1400.4,871.65,528.75,3,Yes,50,Thompson LLC,hughesmelissa@dillon.com,Credit Card,Returned
ORD1078,02-11-2024,07-11-2024,Susan Houston,CUST215,Corporate,Electronics,Keyboard,PROD6999,South,North Carolina,Paulmouth,2,385,10,693,505.63,187.37,9,Yes,43,Oneill Group,nelsonlori@roberts-moore.info,Net Banking,Cancelled
ORD1079,28-08-2024,30-08-2024,Steven Harper,CUST638,Home Office,Furniture,Sofa,PROD4590,West,Nevada,New Victortown,1,1005,15,854.25,732.48,121.77,39,NO,0,Parker-Perry,wford@fitzpatrick-miller.com,Cash,Delivered
ORD1080,30-06-2025,03-07-2025,Jennifer Jones,CUST227,Consumer,Office Supplies,stapler,PROD6873,South,Wyoming,Kennethfurt,8,3831,5,29115.6,17830.05,11285.55,20,NO,0,Castro and Sons,jshelton@miller-brown.com,Cash,Pending
ORD1081,30-07-2025,02-08-2025,Julie Acevedo,CUST766,Consumer,Grocery,Bread,PROD2785,West,Mississippi,Johnport,2,2380,5,4522,3893.15,628.85,44,NO,0,Roberts Ltd,brett85@arroyo.org,Net Banking,Pending
ORD1082,19-05-2024,26-05-2024,Heather Pena,CUST124,Home Office,Electronics,Keyboard,PROD6207,North,Minnesota,Port Seanfurt,4,4810,5,18278,16096.71,2181.29,21,NO,0,"Fleming, Nelson and Baldwin",hunter33@morris-buck.net,UPI,Pending
ORD1083,06-04-2026,13-04-2026,Sarah Greer MD,CUST587,Corporate,Electronics,Monitor,PROD2788,South,Oklahoma,Lake Sharon,8,870,15,5916,3699.68,2216.32,7,Yes,38,"Garcia, Schroeder and Glenn",efrost@castro.biz,Net Banking,Cancelled
ORD1084,26-01-2026,01-02-2026,Anthony George,CUST435,Consumer,Grocery,Eggs,PROD1250,East,Nevada,New Stevenport,4,441,5,1675.8,1481.78,194.02,28,NO,0,Singh-Miller,sowens@thomas-hurley.com,UPI,Delivered
ORD1085,14-03-2026,16-03-2026,Thomas Brown,CUST606,Home Office,Office Supplies,File Folder,PROD3588,North,South Carolina,Franktown,8,445,0,3560,2922.33,637.67,33,NO,0,"Castillo, Khan and Lynch",changmichael@berry.net,Credit Card,Returned
ORD1086,28-12-2024,29-12-2024,Tiffany Jensen,CUST601,Home Office,Furniture,Study Table,PROD9810,West,Wisconsin,Aguilarmouth,5,4708,5,22363,16930.08,5432.92,36,NO,0,Hubbard-Perry,christophermoses@fernandez-smith.com,Credit Card,Cancelled
ORD1087,26-09-2025,30-09-2025,Maxwell Huffman,CUST567,Corporate,Electronics,Monitor,PROD8529,South,New York,Jimmychester,8,3607,0,28856,23071.6,5784.4,6,Yes,23,"Hunter, Baxter and Moore",jeremy81@simpson.org,Credit Card,Returned
ORD1088,18-06-2025,19-06-2025,Carol Coffey,CUST994,Corporate,Furniture,Study Table,PROD3861,South,Nebraska,Harperton,9,2537,15,19408.05,16669.04,2739.01,24,NO,0,Cervantes-Olson,lgaines@solomon.biz,Cash,Delivered
ORD1089,14-07-2024,17-07-2024,Wendy Richardson,CUST109,Corporate,Furniture,Office Chair,PROD2359,South,Vermont,Bowmanstad,5,158,10,711,622.5,88.5,46,NO,0,Simon-Lyons,dcook@blake-green.biz,Credit Card,Cancelled
ORD1090,19-10-2025,25-10-2025,Mitchell Johnson,CUST133,Corporate,Office Supplies,Pen,PROD1158,South,Texas,Christopherstad,4,3972,15,13504.8,10615.66,2889.14,19,NO,0,Schneider Inc,francesreyes@williams.com,Net Banking,Cancelled
ORD1091,04-11-2024,09-11-2024,Andrew Harris,CUST206,Corporate,Office Supplies,Calculator,PROD2046,East,Idaho,Allenport,1,200,10,180,143.37,36.63,22,NO,0,Evans-Stein,mary55@anderson.com,UPI,Cancelled
ORD1092,14-11-2024,16-11-2024,Rebecca Young,CUST275,Consumer,Grocery,Bread,PROD2889,South,Texas,Melissaberg,9,1255,15,9600.75,7222.05,2378.7,7,Yes,38,"Hill, Bryan and Chen",cochranrita@dennis-martinez.net,Credit Card,Delivered
ORD1093,15-08-2025,16-08-2025,Samantha Johnson,CUST632,Home Office,Electronics,Laptop,PROD4364,East,Iowa,Traceyland,1,2877,5,2733.15,2379.42,353.73,50,NO,0,"Lester, Daugherty and Strickland",brady65@porter.info,Net Banking,Delivered
ORD1094,15-08-2025,19-08-2025,Stephanie Lewis,CUST252,Corporate,Grocery,Eggs,PROD1473,North,Vermont,Lake Christopherstad,4,4513,10,16246.8,9925.86,6320.94,8,Yes,20,Thompson Ltd,larryacosta@bridges.info,Net Banking,Returned
ORD1095,17-03-2026,24-03-2026,Timothy Ward,CUST957,Consumer,Furniture,Book Shelf,PROD5289,West,Hawaii,Port Deannastad,8,4191,5,31851.6,24992.59,6859.01,46,NO,0,Nguyen-Hernandez,jbeck@hamilton.net,Cash,Pending
ORD1096,02-06-2025,06-06-2025,Jennifer Barron,CUST495,Home Office,Electronics,Monitor,PROD5355,North,Texas,Hammondport,6,3968,10,21427.2,13305.8,8121.4,13,NO,0,Glass PLC,vasquezcurtis@thomas.com,Cash,Delivered
ORD1097,13-09-2025,16-09-2025,Patricia Smith,CUST218,Corporate,Furniture,Study Table,PROD9354,South,Pennsylvania,South Derrick,8,170,15,1156,715.85,440.15,20,NO,0,Mendoza-Sparks,tuckercheryl@mendoza.com,UPI,Delivered
ORD1098,16-11-2024,20-11-2024,Matthew Castillo,CUST786,Consumer,Office Supplies,stapler,PROD5654,East,Iowa,North Jamiechester,5,4289,20,17156,14577.44,2578.56,49,NO,0,Gallagher PLC,monroejessica@simmons.com,Cash,Returned
ORD1099,20-05-2025,24-05-2025,Matthew Steele,CUST550,Home Office,Grocery,Cheese,PROD5062,East,Alabama,New Michellehaven,9,4570,15,34960.5,23487.7,11472.8,9,Yes,34,Williamson LLC,ipineda@white-brown.biz,Net Banking,Returned
ORD1100,14-07-2024,19-07-2024,Ricky Castillo,CUST880,Consumer,Office Supplies,File Folder,PROD7853,North,North Dakota,Laurieside,4,246,5,934.8,735.7,199.1,4,Yes,38,Fuller Inc,austinnicholson@smith.com,Net Banking,Cancelled
ORD1101,23-02-2026,26-02-2026,Kelly Dalton,CUST480,Home Office,Electronics,Monitor,PROD3733,West,West Virginia,Martinezfort,9,1895,10,15349.5,10593.03,4756.47,42,NO,0,Watts-Cook,nicole30@pollard.biz,Cash,Pending
ORD1102,05-10-2025,07-10-2025,Joseph Sandoval,CUST895,Corporate,Office Supplies,stapler,PROD4743,West,Arizona,South Gabrielfort,8,3966,0,31728,19688.88,12039.12,49,NO,0,Moore-Wilson,denise56@arnold-beck.com,Cash,Cancelled
ORD1103,30-08-2025,02-09-2025,Kristen Martinez,CUST292,Consumer,Grocery,Cheese,PROD9651,North,New Hampshire,New Nicolestad,2,1880,10,3384,2586.18,797.82,8,Yes,50,"Moore, Powers and Mckenzie",oneillmartin@willis-lee.com,Net Banking,Pending
ORD1104,24-05-2024,29-05-2024,Brian Short,CUST928,Consumer,Furniture,Book Shelf,PROD4065,East,Wyoming,Port Dillonview,2,478,15,812.6,494.04,318.56,42,NO,0,"Lowery, Miller and Garza",jennanielsen@moran.com,Credit Card,Pending
